Variable_Name,Correlation_Value
Indep_V3,0.069
Indep_V4,-0.075
Indep_V5,-0.000
Indep_V6,-0.013
Indep_V7,0.086
Indep_V8,-0.024
Indep_V9,0.033
Indep_V10,0.060
Indep_V11,-0.020
Indep_V12,0.051
Indep_V13,-0.051
Indep_V14,-0.152
Indep_V15,0.114
Indep_V16,-0.021
Indep_V17,-0.024
Indep_V18,-0.029
Indep_V19,-0.167
Indep_V20,-0.167
Indep_V21,-0.173
Indep_V22,-0.173
Indep_V23,-0.105
Indep_V24,-0.105
Indep_V27,-0.157
Indep_V28,-0.157
Indep_V29,-0.106
Indep_V30,-0.106
Indep_V31,-0.041
Indep_V32,-0.041
Indep_V33,-0.067
Indep_V34,-0.067
Indep_V36,0.182
Indep_V37,0.073
Indep_V43,0.041
Indep_V48,0.085
Indep_V49,0.085
Indep_V54,-0.189
Indep_V55,-0.189
Indep_V58,0.042
Indep_V59,0.042
Indep_V60,-0.159
Indep_V61,-0.159
Indep_V62,-0.197
Indep_V63,-0.197
Indep_V68,0.197
Indep_V69,0.197
Indep_V78,0.170
Indep_V92,0.081
Indep_V95,0.129
Indep_V105,0.169
Indep_V106,-0.143
Indep_V109,-0.112
Indep_V121,0.110
Indep_V122,0.147
Indep_V123,0.070
Indep_V124,0.058
Indep_V125,0.070
Indep_V126,0.117
Indep_V127,0.105
Indep_V128,0.111
